dr_id,question_1,question_2,label,question_1_length,question_2_length,processed_question_1,processed_question_2
1,Can Adderall (dextroamphetamine and racemic amphetamine) cause ear pressure and slight headaches at the end of the day?,What are the side effects of Adderall? Can it cause ear problems or headache?,1,119,77,adderall dextroamphetamine racemic amphetamine cause ear pressure slight headache end day,side effect adderall cause ear problem headache
1,Can Adderall (dextroamphetamine and racemic amphetamine) cause ear pressure and slight headaches at the end of the day?,What is the maximum dose of Adderall that anybody can take?,0,119,59,adderall dextroamphetamine racemic amphetamine cause ear pressure slight headache end day,maximum dose adderall anybody take
1,Can coarctation of the aorta cause poor growth in height?,"ECHO done today, PA says there could be a problem. I am waiting for the specialist's appointment tomorrow. What should I ask him?",0,57,129,coarctation aorta cause poor growth height,echo do today pa say could problem wait specialist appointment tomorrow ask
1,Can coarctation of the aorta cause poor growth in height?,"I am 4' 8"". My mom said that I have a birth defect (coarctation of aorta). Are the two related?",1,57,95,coarctation aorta cause poor growth height,4 8 mom say birth defect coarctation aorta two relate
1,Can doxycycline treat an ear infection?,What are the side effects of Doxycycline?,0,39,41,doxycycline treat ear infection,side effect doxycycline
1,Can doxycycline treat an ear infection?,Which antibiotic is best for an ear infection? I have an old course of Doxycycline. Would it work?,1,39,98,doxycycline treat ear infection,antibiotic good ear infection old course doxycycline would work
1,Can vinegar help drain the sinus? I've been eating balsamic vinegar dressing with my salads and I feel them draining is that normal??,I have had sinus issues for a while now. My mom says vinegar would help with them. Is it true? I sort of tried it today...,1,133,122,vinegar help drain sinus eat balsamic vinegar dressing salad feel drain normal,sinus issue mom say vinegar would help true sort try today
1,Can vinegar help drain the sinus? I've been eating balsamic vinegar dressing with my salads and I feel them draining is that normal??,Which is the best antibiotic for sinusitis?,0,133,43,vinegar help drain sinus eat balsamic vinegar dressing salad feel drain normal,good antibiotic sinusitis
1,Could chiari malformation cause pituitary problems or diabetes insipidus?,Can I take insulin for my diabetes?,0,73,35,could chiari malformation cause pituitary problem diabetes insipidus,take insulin diabetes
1,Could chiari malformation cause pituitary problems or diabetes insipidus?,What are the effects of Chiari Malformation? My cousin has diabetes and his recent reports show pitutary issues. Is that related?,1,73,129,could chiari malformation cause pituitary problem diabetes insipidus,effect chiari malformation cousin diabetes recent report show pitutary issue relate
1,Could homeopathy for acne help?,My doctor prescribed me Doxycycline for my pimples. How long would it take for it to work?,0,31,90,could homeopathy acne help,doctor prescribe doxycycline pimple long would take work
1,Could homeopathy for acne help?,My sister sent me Dr. Reckeweg R53 Acne Vulgaris And Pimples Drop for my zits. Are you aware if this works?,1,31,107,could homeopathy acne help,sister send reckeweg r53 acne vulgaris pimple drop zit aware work
1,Could this med cause anxiety in a 12 year old?,Can I give some Aspirin to my kid for his headache?,0,46,51,could med cause anxiety 12 year old,give aspirin kid headache
1,Could this med cause anxiety in a 12 year old?,What are the side effects of this? Can it cause anxiety in children?,1,46,68,could med cause anxiety 12 year old,side effect cause anxiety child
1,Could you tell me why my husband has been sweating and vomiting after injecting 30 units of lantis insulin? What should I do?,I was recently detected with high blood sugars. Do you think the doctor will prescribe me insulin? Can I request him to give me pills instead?,0,125,142,could tell husband sweat vomit inject 30 unit lantis insulin,recently detect high blood sugar think doctor prescribe insulin request give pill instead
1,Could you tell me why my husband has been sweating and vomiting after injecting 30 units of lantis insulin? What should I do?,"My husband is a Type 2 Diabetic on Lantus Insulin and Actrapid (to be taken as per his blood sugar readings. About an hour back, he took his usual 30 units of Lantus and vomited. He was sweating as well. Should we be worried?",1,125,225,could tell husband sweat vomit inject 30 unit lantis insulin,husband type 2 diabetic lantus insulin actrapid take per blood sugar reading hour back take usual 30 unit lantus vomit sweat well worried
1,Does age increase the severity of eds symptoms/problems?,I have a small penis. How to increase it in size?,0,56,49,age increase severity ed,small penis increase size
1,Does age increase the severity of eds symptoms/problems?,I think I have ED. Would this worsen as I grow old?,1,56,51,age increase severity ed,think ed would worsen grow old
1,Does dermonu work for acne scars?,Hey! I have been using Dermonu for about a week now. How soon should I see the results?,1,33,87,dermonu work acne scar,hey use dermonu week soon see result
1,Does dermonu work for acne scars?,I have acne ever since I was a teen. Will these go away on their own?,0,33,69,dermonu work acne scar,acne ever since teen go away
1,Extension from my last question. There's vaginal discharge too so ce I'm ovulating. Could that cause the itching?,Hey quick question. Is it normal to have itching during ovulation? Esp if there is a vaginal discharge?,1,113,103,extension last question vaginal discharge ce ovulate could cause itching,hey quick question normal itch ovulation esp vaginal discharge
1,Extension from my last question. There's vaginal discharge too so ce I'm ovulating. Could that cause the itching?,"I have a white vaginal discharge for 2 days now, do I have an STD? Should I get an appointment?",0,113,95,extension last question vaginal discharge ce ovulate could cause itching,white vaginal discharge 2 day std get appointment
1,Feeling frequent deja vu. I've had maybe 3 panic attack with in the past couple months that has left me a bit anxious and was wondering if it's that?,"Recurrent panic attacks, feeling of deja vu, anxiety. Lasting fora few months now. Is this something to worry about?",1,149,116,feel frequent deja vu maybe 3 panic attack past couple month leave bit anxious wonder,recurrent panic attack feel deja vu anxiety last fora month something worry
1,Feeling frequent deja vu. I've had maybe 3 panic attack with in the past couple months that has left me a bit anxious and was wondering if it's that?,Why do I have anxiety when I go in an elevator?,0,149,47,feel frequent deja vu maybe 3 panic attack past couple month leave bit anxious wonder,anxiety go elevator
1,Have neck/back issues for months & had muscle cramps in calves. Stressed. Have (anxiety) BP is somewhat healthy. Yesterday felt tingly in both hands & shaky. In 20s .. Now it's off & on . Any ideas?,I have neck pain and fever. Is this meningitis?,0,198,47,issue month muscle cramp calf stressed anxiety bp somewhat healthy yesterday feel tingly hand shaky 20 idea,neck pain fever meningitis
1,Have neck/back issues for months & had muscle cramps in calves. Stressed. Have (anxiety) BP is somewhat healthy. Yesterday felt tingly in both hands & shaky. In 20s .. Now it's off & on . Any ideas?,"Previous medical issues: anxiety, stress, backache, neck pain, muscle cramps for months. Normal blood pressure. Is it normal to have some tingling in the hands?",1,198,160,issue month muscle cramp calf stressed anxiety bp somewhat healthy yesterday feel tingly hand shaky 20 idea,previous medical issue anxiety stress backache neck pain muscle cramp month normal blood pressure normal tingle hand
1,"Hello, I have had an ultra sound of the testicles and the inguinal area. No trace of hernia or adenopthy. The results came back completely normal. My doctor looked at it and felt it twice. He said it is definitely not a hernia and it is just slightly bigg",I had my routine appointment yesterday and my doctor said the swelling near the crotch is not hernia. Ultrasound did not show anything. Is it possible to still have hernia or lymph node swelling if the ultrasound is negative for it?,1,255,232,hello ultra sound testicle inguinal area trace hernia adenopthy result come back completely normal doctor look feel twice say definitely hernia slightly bigg,routine appointment yesterday doctor say swelling near crotch hernia ultrasound show anything possible still hernia lymph node swelling ultrasound negative
1,"Hello, I have had an ultra sound of the testicles and the inguinal area. No trace of hernia or adenopthy. The results came back completely normal. My doctor looked at it and felt it twice. He said it is definitely not a hernia and it is just slightly bigg",What is the treatment for hernia repair? Is an ultrasound necessary for it? Asking for a friend.,0,255,96,hello ultra sound testicle inguinal area trace hernia adenopthy result come back completely normal doctor look feel twice say definitely hernia slightly bigg,treatment hernia repair ultrasound necessary ask friend
1,How can someone's happiness level affect someone's health?,Can staying happy improve my health? What specific steps should I take?,1,58,71,someone happiness level affect someone health,stay happy improve health specific step take
1,How can someone's happiness level affect someone's health?,Hey following up on this. Doctor says the results are normal and it could be stress. Should I take another opinion?,0,58,115,someone happiness level affect someone health,hey follow doctor say result normal could stress take another opinion
1,How common is it to have physical anxiety symptoms without feeling anxious?,Breathing exercises are not helping with my anxiety. Should I go to the ER?,0,75,75,common physical anxiety symptom without feel anxious,breathing exercise help anxiety go er
1,How common is it to have physical anxiety symptoms without feeling anxious?,I have tremors and chest pain. But I am not feeling anxious. Do you think that is normal?,1,75,89,common physical anxiety symptom without feel anxious,tremors chest pain feel anxious think normal
1,How do add and ADHD differ?,Are ADD and ADHD the same? My sister is diagnosed with ADD. So looking out for some stuff to read through.,1,27,106,add adhd differ,add adhd sister diagnose add look stuff read
1,How do add and ADHD differ?,What are the side effects of the treatment for ADHD?,0,27,52,add adhd differ,side effect treatment adhd
1,How do I know if I have depression and anxiety?,Can CBT be used to treat anxiety?,0,47,33,know depression anxiety,cbt use treat anxiety
1,How do I know if I have depression and anxiety?,What are the symptoms of depression and anxiety?,1,47,48,know depression anxiety,symptom depression anxiety
1,How long does it take for herpes to break out?,Can using condoms prevent transmission of herpes? I have a bump on the corner of my lip and I am a little worried. A little help please?,0,46,136,long take herpes break,use condom prevent transmission herpes bump corner lip little worried little help please
1,How long does it take for herpes to break out?,I had unprotected sex on the 7th of this month. Is there a specific time that the first outbreak occurs?,1,46,104,long take herpes break,unprotected sex 7th month specific time first outbreak occur
1,How many tylenol (acetaminophen) 3's are equal to  a percocet?,I am allergic to Percocet. What else can the doctor prescribe me for my pain? Not sure if Tylenol would do the trick.,0,62,117,many tylenol acetaminophen 3 equal percocet,allergic percocet else doctor prescribe pain sure tylenol would trick
1,How many tylenol (acetaminophen) 3's are equal to  a percocet?,"I am out of Percocet, how many Tylenol pills should I take to give a similar amount of pain relief?",1,62,99,many tylenol acetaminophen 3 equal percocet,percocet many tylenol pill take give similar amount pain relief
1,How much time off work do I take after an ACL reconstruction?,I need ACL reconstructive surgery. What is the recovery process like? How much time should I take off?,1,61,102,much time work take acl reconstruction,need acl reconstructive surgery recovery process like much time take
1,How much time off work do I take after an ACL reconstruction?,I twisted my knee at work and it is very swollen but I can walk on it. Could I have torn my ACL?,0,61,96,much time work take acl reconstruction,twisted knee work swollen walk could tear acl
1,How should the drug methotrexate affect the cells of the body regarding treatment of arthritis?,I fell down 2 months back and my knee is swollen even now. Is this arthritis?,0,95,77,drug methotrexate affect cell body regard treatment arthritis,fall 2 month back knee swollen even arthritis
1,How should the drug methotrexate affect the cells of the body regarding treatment of arthritis?,I have arthritis and have been prescribed with Methotrexate. How does it work? How long will it take to show its effects?,1,95,121,drug methotrexate affect cell body regard treatment arthritis,arthritis prescribe methotrexate work long take show effect
1,How to deal with someone acting childish?,My girlfriend is giving me a hard time. She throws tantrums literally every time we go out. It is embarassing. What do I do to make her see this?,1,41,145,deal someone act childish,girlfriend give hard time throw tantrum literally every time go embarassing make see
1,How to deal with someone acting childish?,What are the different types of personalities? Is being immature one of them?,0,41,77,deal someone act childish,different type personality immature one
1,How to tell what I am having an allergic reaction to?,Can Benadryl help with an itching?,0,53,34,tell allergic reaction,benadryl help itch
1,How to tell what I am having an allergic reaction to?,I have no idea what's causing these bumps on my body. Is there a specific test that can detect this?,1,53,100,tell allergic reaction,idea cause bump body specific test detect
1,I am currently on minocin (minocycline) to treat my acne but I think I am getting itchy hives?,Is hives a common side effect of Minocin? Not sure if this redness is something I should be concerned about?,1,94,108,currently minocin minocycline treat acne think get itchy hive,hive common side effect minocin sure redness something concerned
1,I am currently on minocin (minocycline) to treat my acne but I think I am getting itchy hives?,What can I use for hives on my arm? Is Benadryl okay while taking antibiotics?,0,94,78,currently minocin minocycline treat acne think get itchy hive,use hive arm benadryl okay take antibiotic
1,"If I had hepatitis a, does that mean I can't drink alcohol for a certain number of weeks afterwards?",Can Hep A spread via sharing cigarettes or alcohol bottoes of an infected person?,0,100,81,hepatitis mean can drink alcohol certain number week afterwards,hep spread via share cigarette alcohol bottoe infect person
1,"If I had hepatitis a, does that mean I can't drink alcohol for a certain number of weeks afterwards?",How soon can I drink alcohol after being tested positive for Hep A?,1,100,67,hepatitis mean can drink alcohol certain number week afterwards,soon drink alcohol test positive hep
1,I get one or two acne errupting each month.How do I prevent them?Also the acne leaves scars on my skin. Is there any off the shelf product i could try,I have a healed scar on my leg. Would lemon juice help with it?,0,150,63,get one two acne errupte prevent also acne leave scar skin shelf product could try,heal scar leg would lemon juice help
1,I get one or two acne errupting each month.How do I prevent them?Also the acne leaves scars on my skin. Is there any off the shelf product i could try,What are some home remedies I can use for scars on my face. I have been struggling with acne for quite some time now. :( ,1,150,121,get one two acne errupte prevent also acne leave scar skin shelf product could try,home remedy use scar face struggle acne quite time
1,"I got my period twice within 3 weeks, for the second time within 4 months. Why? I haven't been stressed or changed my exercise plan or diet recently..",Can birth control shot cause your period to become irregular? I have spotting and I'm not sure if it is related.,0,150,112,get period twice within 3 week second time within 4 month stressed change exercise plan diet recently,birth control shot cause period become irregular spotting sure related
1,"I got my period twice within 3 weeks, for the second time within 4 months. Why? I haven't been stressed or changed my exercise plan or diet recently..","I am a 19 y/o woman who regularly exercises and has a balanced diet. I take multivitamins too. Not sexually active, not on any medications. Lately, my period has been more frequent. This is the 4th month since when it started. I'm a little worried.",1,150,248,get period twice within 3 week second time within 4 month stressed change exercise plan diet recently,19 woman regularly exercise balanced diet take multivitamin sexually active medication lately period frequent 4th month since start little worried
1,"I had arthroscopic surgery on my left knee almost a month ago but it seems to be filling up with synovial fluid, shoulde i go back to work or wait until i see the dr.?",How much does it cost to get an arthroscopic knee surgery done? ,0,167,64,arthroscopic surgery left knee almost month ago seem fill synovial fluid shoulde go back work wait see,much cost get arthroscopic knee surgery do
1,"I had arthroscopic surgery on my left knee almost a month ago but it seems to be filling up with synovial fluid, shoulde i go back to work or wait until i see the dr.?","How soon can I go to work after an arthroscopic knee surgery? Also, how long does the swelling last? Mine seems to be swelling more and more everyday. :(",1,167,153,arthroscopic surgery left knee almost month ago seem fill synovial fluid shoulde go back work wait see,soon go work arthroscopic knee surgery also long swelling last mine seem swell everyday
1,I have tinea versicolor in the testicles and tip of penis. It gets itchy and dry. The doctor sent me a salycilic acid wash. Makes sense?,I have itchy and dry discolored patches on the penis and testicles. Doctor thinks it is fungal infection (tinea) and prescribed with CeraVe’s Salicylic Acid Cleanser. Will it work?,1,136,180,tinea versicolor testicle tip penis get itchy dry doctor send salycilic acid make sense,itchy dry discolored patch penis testicle doctor think fungal infection tinea prescribe cerave salicylic acid cleanser work
1,I have tinea versicolor in the testicles and tip of penis. It gets itchy and dry. The doctor sent me a salycilic acid wash. Makes sense?,Salicylic acid washes did not help me with my cystic acne. Should I ask for antibiotics?,0,136,88,tinea versicolor testicle tip penis get itchy dry doctor send salycilic acid make sense,salicylic acid wash help cystic acne ask antibiotic
1,"I'm 16 and my left testicle started having somewhat severe pain in it, it hurts more than extremely when I walk and it hits my pants I can't drive help?",Does redness of the testicles mean cancer?,0,152,42,16 left testicle start somewhat severe pain hurt extremely walk hit pant ca drive help,redness testicle mean cancer
1,"I'm 16 and my left testicle started having somewhat severe pain in it, it hurts more than extremely when I walk and it hits my pants I can't drive help?",My left ball hurts and does more when I am walking or if it rubs against my shorts. I am only 16. What's going on?,1,152,114,16 left testicle start somewhat severe pain hurt extremely walk hit pant ca drive help,left ball hurt walk rub short go
1,I'm taking anxiety and depression medicine to avoid panic attacks mainly & avoid er. Can i take more than 0.5 if i feel panic and 0.5 mg doesn't work?,Can CBT be used to treat anxiety?,0,150,33,take anxiety depression medicine avoid panic attack mainly avoid er take feel panic mg work,cbt use treat anxiety
1,I'm taking anxiety and depression medicine to avoid panic attacks mainly & avoid er. Can i take more than 0.5 if i feel panic and 0.5 mg doesn't work?,I have been on medications for anxiety and depression for about 2 months now. I still have panic attacks. Does this mean I can take a higher dose than my usual 0.5 mg?,1,150,167,take anxiety depression medicine avoid panic attack mainly avoid er take feel panic mg work,medication anxiety depression 2 month still panic attack mean take high dose usual mg
1,"Is 4 mg intuniv & 2mgrisperdal too much for a 5 1/2 yr old, im worried..His neurologist prescibed for pddnos & adhd?",What is the maximum dose of Guanfacine and Risperidal in kids?,1,116,62,4 mg intuniv 2mgrisperdal much 5 yr old I m worried neurologist prescibe pddnos adhd,maximum dose guanfacine risperidal kid
1,"Is 4 mg intuniv & 2mgrisperdal too much for a 5 1/2 yr old, im worried..His neurologist prescibed for pddnos & adhd?",Which medications can Risperidal interact with? I started it 2 days back and I just want to be careful.,0,116,103,4 mg intuniv 2mgrisperdal much 5 yr old I m worried neurologist prescibe pddnos adhd,medication risperidal interact start 2 day back want careful
1,Is aloe vera juice good for hypertension?,"Hey! Visited the doctor today, he said my blood pressure is 150/90 mmHg. Did not prescribe anything, just told to exercise and diet. Wondering if aloe vera juice would help?",1,41,173,aloe vera juice good hypertension,hey visit doctor today say blood pressure mmhg prescribe anything tell exercise diet wonder aloe vera juice would help
1,Is aloe vera juice good for hypertension?,Is aloe vera good for the acne on my face and arms?,0,41,51,aloe vera juice good hypertension,aloe vera good acne face arm
1,Is fecal bacteria really unhealthy compared to other bacteria when you are pregnant?,Can I take prenatal pills for a healthier pregnancy?,0,84,52,fecal bacteria really unhealthy compare bacteria pregnant,take prenatal pill healthy pregnancy
1,Is fecal bacteria really unhealthy compared to other bacteria when you are pregnant?,I am 12 weeks pregnant and went to a beach yesterday. I have read that fecal bacteria in the beaches can be harmful in pregnancy. Is it so?,1,84,139,fecal bacteria really unhealthy compare bacteria pregnant,12 week pregnant go beach yesterday read fecal bacteria beach harmful pregnancy
1,Is hypno-therapy dangeorus?,Are effects of hypno-therapy permanent? I heard they can be dangerous. Is it true?,1,27,82,dangeorus,effect permanent hear dangerous true
1,Is hypno-therapy dangeorus?,I have anxiety and my doctor advised breathing exercises. I am considering hypno-therapy.,0,27,89,dangeorus,anxiety doctor advise breathing exercise consider
1,Is it normal to have nausea and loss of appetite when on your period?,Can somebody be pregnant when on their period?,0,69,46,normal nausea loss appetite period,somebody pregnant period
1,Is it normal to have nausea and loss of appetite when on your period?,Hey doctor! Started my period yesterday. I feel like puking all the time and don't have any appetite. How can I treat this?,1,69,123,normal nausea loss appetite period,hey doctor start period yesterday feel like puking time appetite treat
1,My child has low alkaline phosphatase level on his lab results. Why?,Can liver function tests detect cancer?,0,68,39,child low alkaline phosphatase level lab result,liver function test detect cancer
1,My child has low alkaline phosphatase level on his lab results. Why?,Hey! Jason's reports are back. It shows alkaline phosphatase level: 40 IU/L. Is it low for a child? Should we see the doctor sooner?,1,68,132,child low alkaline phosphatase level lab result,hey jason report back show alkaline phosphatase level 40 low child see doctor soon
1,"My husband has chronic itching w/ no rashes/hives.He has seen an allergist, dermatologist, acupuncturist, and therapist. Bloodwrk negative any ideas?","Not sure what this sounds like: Itching for 5+ years, no rashes, no hives. Blood tests normal. Seen all specialists including skin doctor, acupuncturist, allergy doctor AND a therapist.",1,149,185,husband chronic itching see allergist dermatologist acupuncturist therapist bloodwrk negative idea,sure sound like itch year rash hive blood test normal see specialist include skin doctor acupuncturist allergy doctor therapist
1,"My husband has chronic itching w/ no rashes/hives.He has seen an allergist, dermatologist, acupuncturist, and therapist. Bloodwrk negative any ideas?",What is the treatment for psoariasis?,0,149,37,husband chronic itching see allergist dermatologist acupuncturist therapist bloodwrk negative idea,treatment psoariasis
1,My six year old daughter has been on antibiotics over 48hours and started running a fever over 101 and she says her head hurts. Should I take her back in? Given antibiotics for sinus infection but has been getting stuff up when coughing. She has a hist,"If there is persistent fever even after taking 4 doses of antibiotics (over 48 hours), does it mean it is not working? Cough is the same as it was earlier. Should we go back to the ER? She's 6, I can't see her like this. :( ",1,252,224,six year old daughter antibiotic 48hour start run fever 101 say head hurt take back give antibiotic sinus infection get stuff cough hist,persistent fever even take 4 dose antibiotic 48 hour mean work cough early go back er 6 ca see like
1,My six year old daughter has been on antibiotics over 48hours and started running a fever over 101 and she says her head hurts. Should I take her back in? Given antibiotics for sinus infection but has been getting stuff up when coughing. She has a hist,Should antibiotics be prescribed to children below the age of 10 years?,0,252,71,six year old daughter antibiotic 48hour start run fever 101 say head hurt take back give antibiotic sinus infection get stuff cough hist,antibiotic prescribe child age 10 year
1,"Q. Hi, I am almost 12 weeks pregnant and my food had tiny particles of plastic (by mistake) so I am worried; in case I accidentally swallowed some : (?",I just realized I ingested some shreds of plastic film with my food. Would it harm my baby? I am due for my 3 month appointment tomorrow. Should I ask the doctor?,1,151,162,hi almost 12 week pregnant food tiny particle plastic mistake worried case accidentally swallow,realize ingest shred plastic film food would harm baby due 3 month appointment tomorrow ask doctor
1,"Q. Hi, I am almost 12 weeks pregnant and my food had tiny particles of plastic (by mistake) so I am worried; in case I accidentally swallowed some : (?",Is it healthy to eat fish during the first trimester of pregnancy? I just got some yesterday and opened the plastic foil. Though I should ask before eating it.,0,151,159,hi almost 12 week pregnant food tiny particle plastic mistake worried case accidentally swallow,healthy eat fish first trimester pregnancy get yesterday open plastic foil though ask eat
1,Screaky voice. How can I get a more masculine voice?,My voice seems very high pitched as compared to the rest in my class. Is there a problem with me? What can I do to make it better? Are there any supplements to help?,1,52,165,screaky voice get masculine voice,voice seem high pitched compare rest class problem make well supplement help
1,Screaky voice. How can I get a more masculine voice?,"When do puberty changes in men begin? I'm annoyed with my short height, short size of my penis and feminine voice. :(",0,52,117,screaky voice get masculine voice,puberty change man begin annoyed short height short size penis feminine voice
1,Since I was a child my joints have always clicked but over the years it has got very painful special when it rains or I am cold? How do I fix?,I am currently 17 y/o. I have no past history of joint issues. I have started experiencing pain in my joints during rainy or cold season. Is it related to my childhood habit of clicking my joints?,1,142,196,since child joint always click year get painful special rain cold fix,currently 17 past history joint issue start experience pain joint rainy cold season relate childhood habit click joint
1,Since I was a child my joints have always clicked but over the years it has got very painful special when it rains or I am cold? How do I fix?,My fingers are very long and I think I can extend them abnormally. Is this something to be worried about. I have no pain or swelling.,0,142,133,since child joint always click year get painful special rain cold fix,finger long think extend abnormally something worried pain swelling
1,Was treated for PID caused by BV only with one dose of azythromyacin and injection of antibiotics. PID never went away. What should i do?,I have itching and vaginal discharge. Do I have yeast or is it something serious?,0,137,81,treat pid cause bv one dose azythromyacin injection antibiotic pid never go away,itch vaginal discharge yeast something serious
1,Was treated for PID caused by BV only with one dose of azythromyacin and injection of antibiotics. PID never went away. What should i do?,Is a single dose of Azithromycin helpful in treating PID? I already took it along with antibiotic injection. But I still have the symptoms. :( ,1,137,143,treat pid cause bv one dose azythromyacin injection antibiotic pid never go away,single dose azithromycin helpful treat pid already take along antibiotic injection still symptom
1,What are the causes of perianal abscess?,Hey! Wondering if unprotected sex can cause abscess in the anal hole? What else could cause it?,1,40,95,cause perianal abscess,hey wonder unprotected sex cause abscess anal hole else could cause
1,What are the causes of perianal abscess?,I think I have a hemorrhoid. Not sure but I am having pus from the anus. Can it be an abscess?,0,40,94,cause perianal abscess,think hemorrhoid sure pus anus abscess
1,What does a doctor do in externsl cronic anal fissure and pls tell me the process of sugery of cronic anal fissure outside my anal there is one small?,I have bloody diarrhea for 2 days. Should I go to the ER?,0,150,57,doctor externsl cronic anal fissure pls tell process sugery cronic anal fissure outside anal one small,bloody diarrhea 2 day go er
1,What does a doctor do in externsl cronic anal fissure and pls tell me the process of sugery of cronic anal fissure outside my anal there is one small?,I think I have anal fissures. I have been having them for quite some time now. I have an appointment tomorrow. What treatment should I discuss with the doctor? Surgery or medical?,1,150,179,doctor externsl cronic anal fissure pls tell process sugery cronic anal fissure outside anal one small,think anal fissure quite time appointment tomorrow treatment discuss doctor surgery medical
1,What do you recommend to treat a severed posterior longitudinal ligament?,I am doing a project on the vertebral column. Can you help me?,0,73,62,recommend treat sever posterior longitudinal ligament,project vertebral column help
1,What do you recommend to treat a severed posterior longitudinal ligament?,My MRI report is out and it shows Post Longitudnal lig tear. Is there a treatment for this?,1,73,91,recommend treat sever posterior longitudinal ligament,mri report show post longitudnal lig tear treatment
1,"What is mecoblamin? What is this medicine usus for?  My mother is diabetic patient, does this medicine useful? Thank you in advance",Hey! And update on the numbness and tingling I had in my foot. My doctor thinks it is a nerve issue and prescribed me Vit B12 injections.,0,131,137,mecoblamin medicine usus mother diabetic patient medicine useful thank advance,hey update numbness tingle foot doctor think nerve issue prescribe vit b12 injection
1,"What is mecoblamin? What is this medicine usus for?  My mother is diabetic patient, does this medicine useful? Thank you in advance",My mom is diabetic. She was recently advised to take Mecobalamin. I am not sure how it will help her. Any ideas?,1,131,112,mecoblamin medicine usus mother diabetic patient medicine useful thank advance,mom diabetic recently advise take mecobalamin sure help idea
1,What is the cleanest/safest SSRI for general stress-induced anxiety?,Are SSRIs the best treatment for stress/anxiety? Which one is the best?,1,68,71,ssri general anxiety,ssris good treatment one good
1,What is the cleanest/safest SSRI for general stress-induced anxiety?,Why do I have anxiety when I go in an elevator?,0,68,47,ssri general anxiety,anxiety go elevator
1,What is the definition or description of: activity modification?,How much physical activity is an adult required to do every day?,0,64,64,definition description activity modification,much physical activity adult require every day
1,What is the definition or description of: activity modification?,"What are some exercises and changes to lifestyle that I can do? I'm not sure but the doctor has advised me ""activity modification"". What does it mean?",1,64,150,definition description activity modification,exercise change lifestyle sure doctor advise activity modification mean
1,Whats a type 1 shellfish allergy?,Are there different types of shellfish allergies? I have been diagnosed with type 1. What does it mean?,1,33,103,what s type 1 shellfish allergy,different type shellfish allergy diagnose type mean
1,Whats a type 1 shellfish allergy?,Can I eat fish in second trimester of pregnancy?,0,33,48,what s type 1 shellfish allergy,eat fish second trimester pregnancy
1,What should I do if I have an allergy of sneezing when i wake upplease tell me what type of disease or allergy it is?,I cleaned my room and started sneezing. What can I take for it?,0,117,63,allergy sneezing wake upplease tell type disease allergy,clean room start sneeze take
